ja	帰るのか？ 僕も一緒に出る | 
ru	Ты спать? Я тебя провожу. 
id	Kau mau pulang? Baiklah. Akan kuantar ke depan. 
ar	&rlm;‏ستذهب؟ سأرافقك إلى الخارج إذاً.‏ | 
da	Siger du godnat? Jeg følger dig ud. 
el	Θα φύγεις; Τότε, θα σε συνοδεύσω έξω. 
en	You're gonna call it? | All right. I'll walk you out, then. | 
es-eu	¿Te vas? Te acompaño fuera. 
es	¿Te irás? Te acompaño afuera. 
fi	Lähdetkö? Saatan sinut ulos. 
fr	Tu y vas ? Je te raccompagne. 
he	&rlm;‏אתה הולך? אז אני אלווה אותך.‏ | 
it	Te ne vai? Ti accompagno alla porta. 
no	Gjør du? Jeg følger deg ut. 
pl	Tak? W takim razie cię odprowadzę. 
pt-br	Vai nessa? Então vou acompanhá-lo. 
pt	Já chega? Eu acompanho-te. 
ro	Te retragi? Atunci, te conduc. 
sv	Ska du dra? Jag följer dig ut. 
th	ขอเลิกแล้วเหรอ | งั้นผมจะออกไปส่งคุณ | 
tr	Gidiyor musun? Seni geçireyim. 
vi	Anh về à? Tôi sẽ tiễn anh. | 
zh-long	今天先這樣？那我送你出去 
zh-short	要结束吗？那我送你出去 
nl	Dan loop ik met je mee. Bedankt voor alles. 
ko	가보려고?  | 내가 배웅해줄게 | 

en	[screams, thuds] 

