id	Alat musik! 
ar	&rlm;‏أعني الآلة الموسيقية!‏ | 
da	Instrumentet! 
el	Για το όργανο λέω! 
en	The instrument! | 
es	¡El instrumento! 
es-eu	¡El instrumento! 
fi	Sen soittimen! 
fr	L'instrument ! 
he	&rlm;‏כלי הנגינה!‏ | 
it	Lo strumento! 
no	Instrumentet! 
pl	To taki instrument! 
pt-br	O instrumento! 
pt	O instrumento! 
ro	Instrumentul! 
ru	Инструмент! 
sv	Instrumentet! 
th	เครื่องดนตรี | 
tr	Çalgıdan söz ediyorum! 
vi	Nhạc cụ! | 
zh-long	三角鐵啦！ 
zh-short	是乐器！ 
ko	악기 말이야! | 
ja	楽器のことだ | 

he	‫"השטן‬ | 

