id	Syukurlah. 
ja	楽しそうだ | 
ru	Это хорошо. 
ar	&rlm;‏هذا أمر جيد.‏ | 
da	Det er da godt. 
el	Καλό αυτό. 
en	That's a good thing. | 
es	Eso es algo bueno. 
es-eu	Eso es bueno. 
fi	Sehän on hyvä juttu. 
fr	C'est bien. 
he	&rlm;‏זה טוב.‏ | 
it	È una bella cosa. 
ko	잘됐네 | 
nl	Dat is mooi. 
no	Det er bra. 
pl	To dobrze. 
pt-br	Isso é bom. 
pt	Isso é bom. 
ro	Asta e bine. 
sv	Det låter bra. 
th	นั่นเป็นเรื่องดี | 
tr	Bu iyi bir şey. 
vi	Thật tốt. | 
zh-long	這是好事 
zh-short	那是好事 

en	♪ When the stairs in your house Are creaky ♪ 

