ja	叔父さんにマネジャーは？ | 
id	Apakah orang ini butuh manajer? Karena... 
ru	А ему не нужен менеджер? 
ar	&rlm;‏أيحتاج عمك إلى مدير أعمال لأنه...‏ | 
da	Har han brug for en manager... 
el	Μήπως χρειάζεται μάνατζερ, γιατί... 
en	Does this guy need a manager because... | 
fi	Tarvitseeko hän manageria? 
fr	Il cherche un imprésario ? Parce que... 
he	&rlm;‏האם הוא צריך מנהל כי...‏ | 
it	Magari gli serve un manager? 
ko	그분 혹시 매니저 필요하시대? | 
nl	Heeft hij een manager nodig, want... 
no	Trenger han manager, for... 
pl	Może potrzebuje menedżera? 
pr-br	Esse cara precisa de um empresário? Pois... 
pr	Ele precisa de um empresário? É que... 
ro	Tipul are nevoie de impresar cumva? Fiindcă... 
sp-eu	¿Necesita un mánager? Porque... 
sp	¿Necesita un representante porque...? 
sv	Behöver han en manager... 
th	แล้วเขาต้องการผู้จัดการไหมเพราะ... | 
tr	Amcanın menajere ihtiyacı var mı? 
vi	Ông ta có cần người quản lý không vì... | 
zh-long	這傢伙需要經紀人嗎… 
zh-short	他需要经纪人吗 

