ar	&rlm;‏"(تاور ريكوردز)"‏ | 
he	&rlm;‏- טאואר רקורדס -‏ | 
ko	“타워 레코드” | 
th	(ทาวเวอร์เรกคอร์ดส์) | 
vi	HÃNG THU ÂM TOWER RECORDS | 
zh-long	（淘兒唱片） 
zh-short	（淘儿唱片店） 
el	ΤΑΟΥΕΡ ΡΕΚΟΡΝΤΣ 

ja	&lrm;奥さんの写真は？ | 
cs	- Máte její fotku? - Jistě. 
da	-Har De et foto af hende? | -Naturligvis. | 
el	-Έχετε φωτογραφία της; -Φυσικά. 
en	-Do you have a photo of her? -Of course. 
es-eu	- ¿Tiene una foto de su mujer? - Claro. 
es	- ¿Tiene una foto de ella? - Claro. 
fi	Onko teillä kuvaa hänestä? | -Tietysti. | 
fr	- Vous avez une photo ? - Bien sûr. 
he	‫יש לך תמונה שלה?‬ | ‫-כמובן.‬ | 
hr	-Imate li njezinu fotografiju? -Naravno. 
hu	- Van róla fényképe? - Persze. 
id	- Kau punya fotonya? - Tentu saja. 
it	- Ha una foto di sua moglie? - Certo. 
ko	&lrm;- 사진 있어요? | &lrm;- 그럼요 | 
ms	- Encik ada gambar dia? - Mestilah ada. 
nl	Heeft u een foto van haar? -Natuurlijk. 
no	-Har du bilde av henne? -Selvsagt. 
pt-br	- Tem uma foto dela? - Claro. 
pt	- Tem uma foto dela? - Claro. 
ro	- Aveți o poză cu ea? - Da. 
ru	- У вас есть ее фото? - Конечно. 
sv	-Har ni en bild på henne? -Självklart. 
th	&lrm;- คุณมีรูปภรรยามั้ย | &lrm;- มีสิ | 
tr	-Karınızın fotoğrafı var mı? -Tabii. 
uk	-Маєте її фото? -Авжеж. 
vi	&lrm;- Anh có ảnh cô ấy không? | &lrm;- Tất nhiên. | 
zh-long	-你有她的照片嗎？ -當然有 
zh-short	-你有她的照片吗？ -当然有 
ja	&lrm;ここに | 

