th	รักคุณเสมอมา | 
ru	Я всегда тебя любил. 
id	Aku selalu mencintaimu. 
ar	&rlm;‏أحببتك دوماً.‏ | 
da	Jeg har altid elsket dig. 
el	Πάντα σ' αγαπούσα. 
en	I've always loved you. | 
es-eu	Siempre te he querido. 
es	Te he amado siempre. 
fi	Olen aina rakastanut. 
fr	Depuis le début. 
he	&rlm;‏תמיד אהבתי אותך.‏ | 
it	Ti ho sempre amato. 
ko	언제나 널 사랑했어 | 
nl	Ik heb altijd van je gehouden. 
no	Jeg har alltid elsket deg. 
pl	Zawsze cię kochałem. 
pt-br	Sempre amei. 
pt	Sempre te amei. 
ro	Te-am iubit mereu. 
sv	Jag har alltid älskat dig. 
tr	Hep sevdim. 
vi	Anh vẫn luôn yêu em. | 
zh-long	我一直都愛著妳 
zh-short	我一直都爱你 
ja	ずっと愛してた | 

