ja	まあいい | １時間後にオフィスへ | 
ar	&rlm;‏مهما يكن. تعال إلى مكتبي بعد ساعة.‏ | 
da	Hør her, kom over på mit kontor om en time. 
el	Τέλος πάντων. Έλα στο γραφείο μου σε μια ώρα. 
en	Yeah, all right, whatever. Tell you what, | you come to my office in an hour. | 
fi	No, vähät siitä. Tulkaa toimistolleni tunnin päästä, 
fr	Peu importe. Passe à mon bureau dans une heure. 
he	&rlm;‏‏לא חשוב. אני אגיד לך מה, | &rlm;‏בוא למשרד שלי בעוד שעה.‏ | 
it	Comunque, vieni nel mio ufficio tra un'ora. 
no	Samme det. Kom til mitt kontor om en time. 
pl	Nieważne. Wpadnij za godzinę do mojego biura. 
pr-br	Que seja. Bom, esteja no meu escritório daqui a uma hora. 
pr	Não importa. Fazemos o seguinte, vai ao meu escritório daqui a uma hora. 
ro	În fine. Uite ce e! Te aștept la mine în birou într-o oră. 
sp-eu	Bueno. Escucha, pásate por mi despacho dentro de una hora. 
sp	No importa. Te diré algo, ven a mi oficina en una hora. 
th	อะไรก็ตาม จะบอกอะไรให้ | อีกชั่วโมงมาที่ออฟฟิศผม | 
tr	Neyse. Bak, ne diyeceğim, bir saat sonra ofisime gel. 
vi	Sao cũng được. Thế này nhé, | một tiếng nữa anh vào văn phòng tôi. | 
zh-long	總之呢，一小時後來我辦公室 
zh-short	不管了 一小时后到我办公室来 
nl	Kom over een uur naar mijn kantoor. We maken een deal. 
sv	Kom till mitt kontor om en timme, så fixar vi ett kontrakt. 
id	Baik. Terserah. Datanglah ke kantorku satu jam lagi. 
ko	상관없어, 아무튼 | 1시간 뒤에 사무실로 와 | 
ru	В общем, приходи в мой офис через час. 

