ja	ラジオで流れた | お祝いをしよう | 
id	Kita lakukan apa malam ini untuk rayakan? Lagumu diputar di radio! 
ar	&rlm;‏ما الذي سنفعله لنحتفل؟ بثت الإذاعة أغنيتك!‏ | 
da	Hvordan skal vi fejre, at du var i radioen? 
el	Πώς θα το γιορτάσουμε απόψε; Ακούστηκες στο ραδιόφωνο! 
en	What are we doing tonight to celebrate? | You were on the radio! | 
fi	Minne lähdemme juhlimaan? Pääsit radioon! 
fr	Faut fêter ça. Tu es passée à la radio ! 
he	&rlm;‏איך אנחנו חוגגים? היית ברדיו!‏ | 
it	Che facciamo per festeggiare? Ti ho sentito alla radio! 
ko	오늘 어떤 식으로 축하할까? | 라디오에도 나왔어! | 
nl	Hoe gaan we 't vieren? Je was op de radio. 
no	Hvordan skal vi feire? Du var på radio! 
pl	Jak to uczcimy? Twoją piosenkę puszczali w radiu! 
pr-br	Como vamos comemorar? Você estava na rádio! 
pr	O que vamos fazer para comemorar? Passaste na rádio! 
ro	Ce facem astă-seară ca să sărbătorim? Te-am auzit la radio! 
ru	Как будем праздновать? Ты на радио! 
sp-eu	¿Cómo vamos a celebrarlo? ¡Has salido en la radio! 
sp	¿Qué haremos para celebrar? ¡Saliste en la radio! 
sv	Vad ska vi göra för att fira? Du var på radion! 
th	เราจะทำอะไรฉลองกันดี | เพลงคุณได้ออกวิทยุแล้ว | 
tr	Kutlamak için ne yapıyoruz? Şarkın radyoda çalındı! 
vi	Ta làm gì để ăn mừng đây? | Cô lên đài rồi đấy! | 
zh-long	我們要怎麼慶祝？妳上電臺咧！ 
zh-short	你想怎么庆祝？广播里在播你的歌！ 

