id	dari yang terbaik. 
ru	...и сбоку бантик. 
ar	&rlm;وأكثر من ذلك أيضاً. | 
da	Og lidt til. 
el	κι ακόμη περισσότερα. 
es	Con papas fritas. 
es-eu	y mucho más. 
fi	ja vähän päälle. 
fr	De la bombe, même. 
he	&rlm;‏ויותר.‏ | 
it	e molto altro ancora. 
ko	사실 그 이상이었어요 | 
no	...og mer til. 
pl	jest magiczne. 
pt-br	de supimpa. 
pt	é extraordinário. 
ro	și chiar mai mult. 
th	มันดีเลิศสุดๆ | 
tr	ve daha fazlası vardı. 
vi	cực kỳ chuẩn. | 
zh-long	只應天上有 
zh-short	是首屈一指的 
en	and a bag of chips. [laughs] | 

en	[yells] Hoo-ah! 

