ja	あと何だっけ？ | 
en	Uh, what else is going on? | 
id	Ada apa lagi? 
ar	&rlm;‏ماذا يحدث أيضاً؟‏ | 
da	Hvad sker der ellers? 
el	Τι άλλο συμβαίνει; 
fi	Mitäs muuta? 
fr	Quoi d'autre ? 
he	&rlm;‏מה עוד קורה?‏ | 
it	Che altro posso dire? 
ko	또 뭐가 있죠? | 
nl	Wat gebeurt er nog meer? 
no	Hva annet skjer? 
pl	Co jeszcze? 
pr-br	O que mais está rolando? 
pr	O que mais se passa? 
ro	Ce se mai întâmplă? 
sp-eu	¿Qué más tenemos? 
sp	¿Qué más sucede? 
sv	Vad händer mer? 
th	มีอะไรเกิดขึ้นอีกนะ | 
tr	Başka neler vardı? 
vi	Còn gì nữa nhỉ? | 
zh-long	還有其他事發生嗎？ 
zh-short	还有什么事？ 
ru	Ну, что еще? 

