ja	このクソガキども | 
ru	Так! Вы, сукины дети! 
id	Baiklah. Dengar, Berengsek. 
ar	&rlm;‏حسناً. اسمعا يا ابني اللعينتين.‏ | 
da	Hør her, I skiderikker. 
el	Λοιπόν, ακούστε, καθάρματα. 
en	[Sandy] All right. | Listen, you sons of bitches. | 
es	Está bien. Escuchen, hijos de puta. 
es-eu	Está bien. Escuchad, hijos de puta. 
fi	Kuulkaas, paskiaiset. 
fr	Bon. Écoutez-moi, petits saligauds. 
he	&rlm;‏בסדר. תקשיבו, בני זונות.‏ | 
it	Bene. Ascoltate, figli di puttana. 
ko	좋아, 잘 들어 | 이 개자식들 | 
no	Ja vel. Hør her, drittsekker. 
pl	Słuchajcie, sukinsyny. 
pt-br	Certo. Ouçam, seus putos. 
pt	Pronto. Ouçam, seus filhos da mãe. 
ro	Ascultați aici, nenorociților! 
sv	Hör på, era jävlar. 
th	เอาละ ฟังนะ ไอ้เด็กเวร | 
tr	Pekâlâ. Dinleyin piç kuruları. 
vi	Nghe này, lũ khốn. | 
zh-long	夠囉，小王八蛋 
zh-short	够了 听好了 你们两个混球 

