id	Tidak mau makanan Tionghoa. 
ar	&rlm;‏لا أريد تناول الطعام الصيني للغداء.‏ | 
el	Δε θέλω να φάω κινέζικο. 
en	I don't want Chinese food for lunch. | 
fi	Ei lounaaksi. 
fr	Pas au déjeuner. 
he	&rlm;‏אני לא רוצה אוכל סיני.‏ | 
it	Non mangio cinese a pranzo. 
nl	Ik wil geen Chinees. 
pl	Nie na lunch. 
pr-br	Não quero almoçar comida chinesa. 
pr	Não quero almoçar comida chinesa. 
ro	Nu vreau mâncare chinezească. 
sp-eu	No quiero comida china. 
sp	No quiero comida china. 
th	เที่ยงไม่กินอาหารจีน | 
tr	Öğleyin Çin yemeği istemem. 
vi	Tôi không thích ăn trưa món đó. | 
zh-long	我中餐不想吃中國菜 
zh-short	我午饭不想吃中餐 
no	Jeg vil ikke ha kinesisk. 
sv	Jag vill inte ha kinamat. 
ja	昼に食いたくない | 
da	Jeg vil ikke have kinesisk mad. 
ru	Только не на обед. 
ko	점심으로는 싫어 | 

