id	Wexler Artists. 
ja	ウェクスラー・アーティスツ | 
ru	«Уэкслер Артистс». 
ar	&rlm;‏"ويكسلر أرتيستس".‏ | 
da	Wexler Artists. 
el	Καλλιτέχνες του Γουέξλερ. 
en	Wexler Artists. | 
fi	Wexler Artists. 
fr	Wexler et ses Artistes. 
he	&rlm;‏וקסלר אמנים.‏ | 
it	Wexler Artists. 
ko	웩슬러 아티스트입니다 | 
no	Wexler Artists. 
pl	Wexler Artists. 
pr-br	Artistas Wexler. 
pr	Wexler Artists. 
ro	Wexler Artists. 
sp	Artistas Wexler. 
sp-eu	Artistas Wexler. 
sv	Wexler Artists. 
th	เวกซ์เลอร์อาร์ทิสต์ส | 
tr	Wexler Sanatçıları. 
vi	Công ty Nghệ sĩ Wexler. | 
zh-long	韋克斯勒經紀公司 
zh-short	韦克斯勒艺人公司 

