ar	&rlm;‏ما هي المحطة؟‏ | 
da	Hvilken station er det? 
el	Ποιος σταθμός είναι; 
en	What station is it? | 
es-eu	¿Qué emisora escucha? 
es	¿Qué estación es? 
fr	C'est quelle station ? 
he	&rlm;‏באיזו תחנה זה?‏ | 
it	Che stazione è? 
ko	어느 방송국이에요? | 
nl	Welke zender is dat? 
pt-br	Qual estação está? 
pt	Qual é a estação? 
sv	Vilken station är det? 
tr	Hangi kanal? 
vi	Đài nào vậy? | 
zh-long	妳在聽哪一臺？ 
zh-short	是哪个频道？ 
th	สถานีอะไรครับ | 
ja	聞け | 
id	- Di saluran radio mana? - Permisi, Nona. 
no	-Hvilken kanal er det? -Unnskyld meg? 
ru	-Какая это станция? -Простите, мисс. 
pl	Co to za stacja? 
ro	Pe ce post e? 

id	Kalian… | 
ko	이러지 마! 
es	¡No pueden…! 
en	[kids continue shouting] 

