ar	&rlm;‏هؤلاء يغدون...‏ | 
da	De får... 
el	Αυτοί οι τύποι γίνονται... 
fi	Nämä tyypit saavat... 
fr	Ces types... 
he	&rlm;‏החבר'ה האלה מקבלים...‏ | 
it	Questi ragazzi... 
nl	Die jongens krijgen... 
no	Disse folkene får... 
pr-br	Vocês... 
pr	Estes tipos são... 
ro	Tipii ăștia au... 
sp	Estos tipos consiguen... 
sp-eu	A estos tíos les dan... 
sv	De snubbarna får... 
th	พวกนี้เขา... | 
tr	Bu adamlar... 
vi	Mấy gã này... | 
zh-long	這些人… 
zh-short	这些家伙… 
en	These guys get... [continues indistinctly] | 
ko	이 사람들은... | 
ru	Эти ребята... 
id	Mereka mendapatkan... 
ja	まず 飲み物があるか | 彼が聞いて… | 

