ru	Значит, все сначала. 
fr	On va devoir recommencer. 
nl	Dus we moeten het opnieuw doen. 
ar	&rlm;‏‏- يتعين أن نسجله مجدداً إذاً. | &rlm;‏- حسناً.‏ | 
da	-Vi skal altså gøre det igen? -Okay. 
el	-Δηλαδή, πρέπει να το ξανακάνουμε; -Εντάξει. 
en	-So we'll have to do it again. | -Okay. | 
es-eu	- Entonces tendremos que repetir. - Vale. 
es	- Tendremos que hacerlo otra vez. - De acuerdo. 
fi	-Eli pitää ottaa uudestaan. -Sopii. 
he	&rlm;‏‏אז נצטרך לעשות את זה שוב. | &rlm;‏-בסדר.‏ | 
id	- Kita harus melakukannya lagi. - Baiklah. 
it	- Quindi dobbiamo rifarla. - Va bene. 
ko	- 그럼 다시 해야겠네 | - 알았어요 | 
no	-Så vi må gjøre det på nytt. -Greit. 
pl	- Czyli musimy nagrać jeszcze raz. - Tak. 
pt-br	-Então vamos ter que repetir. -Tudo bem. 
pt	- Vamos ter de repetir? - Está bem. 
ro	- Deci va trebui să repetăm? - Bine. 
sv	-Då måste vi göra om det? -Okej. 
th	- งั้นเราจะต้องอัดใหม่อีกครั้ง | - โอเค | 
tr	-Tekrar yapmamız gerekecek. -Peki. 
vi	- Vậy là ta sẽ thu lại. | - Được thôi. | 
zh-long	-所以我們要重來一次 -好呀 
zh-short	-所以我们得重录 -好的 
ja	じゃ やり直し？ | 

vi	cậu không được bị bắt gặp nói chuyện với tôi hay sĩ quan nào ở đây. 
hr	ne smiješ biti viđen u razgovoru sa mnom ni s ostalim policajcima. 
ja	&lrm;俺や他の警官と話すのを | &lrm;見られてはいけない | 
pt-br	é que nunca pode ser visto falando comigo ou com qualquer outro policial aqui. 
ro	nu poți fi văzut niciodată vorbind cu mine sau cu alți polițiști. 
ar	‫أنه لا يمكن أن تُرى وأنت تتحدث إليّ‬ | ‫أو إلى أي ضابط في هذا المكان.‬ | 
cs	nikdy nesmí vidět, jak se bavíš se mnou nebo s jiným poldou tady na stanici. 
da	Ingen må se dig tale til mig eller nogen anden betjent. 
de	Niemand darf dich je mit mir oder meinen Kollegen reden sehen. 
el	είναι ότι δεν πρέπει να σε δουν να μου μιλάς εδώ μέσα. 
en	you can never be seen talking to me or any other officer in this place. 
es-eu	que no se te puede ver hablando conmigo ni con otros agentes. 
es	no pueden verte hablando conmigo ni con ningún otro oficial. 
fi	kukaan ei saa ikinä nähdä sinun puhuvan minulle tai kellekään muulle täällä. 
fr	personne ne doit te voir me parler, ou parler aux agents de ce commissariat. 
he	‫הוא שאסור שאף אחד אף פעם יראה אותך‬ | ‫מדבר איתי או עם כל שוטר אחר במקום הזה.‬ | 
hu	hogy sosem láthatnak itt, velem, vagy más rendőrrel beszélni. 
it	che non puoi mai farti vedere parlare con me o qualsiasi altro agente qui. 
ko	나를 비롯 그 어떤 경찰과도 말을 섞어선 안 된단 거야 
ms	awak tak boleh dilihat bercakap dengan saya atau mana-mana polis di sini. 
nl	…dat je hier nooit met mij of 'n andere agent gezien mag worden. 
pl	że nie możesz być widziany, jak rozmawiasz z kimś tutaj. 
pt	é que nunca podes ser visto a falar comigo ou com qualquer outro agente. 
sv	att du aldrig får ses prata med mig eller nån annan polis här. 
th	จะให้ใครเห็นนายคุยกับฉัน หรือตำรวจคนอื่นๆ ที่นี่ไม่ได้ 
tr	burada benimle veya başka bir memurla konuşurken görülemezsin. 
zh-long	絕對不能讓別人看到你跟我 或這裡的其他警察講話 
zh-short	你永远不能被别人看到和我 或者这个警局里的任何一个人讲话 
id	kau dilarang bicara kepadaku | atau polisi lainnya di tempat ini. | 

