ja	子供に好かれる容姿だ | クルクルヘアに口ひげ | 
ar	&rlm;‏شعره مجعد، وله شارب.‏ | 
da	Han har krøllet hår og overskæg. 
el	Έχει σγουρά μαλλιά και μουστάκι. 
en	He's got curly hair, | and... and he's got the mustache. | 
fi	Hänellä on kihara tukka ja viikset. 
fr	Il a les cheveux frisés et une moustache. 
he	&rlm;‏יש לו שיער מתולתל ויש לו שפם.‏ | 
it	Ha i riccioli e i baffi. 
nl	Hij heeft krullend haar en een snor. 
no	Han har krøllete hår og bart. 
pl	Ma kręcone włosy i wąsy. 
pr-br	Ele tem cabelo cacheado e bigode. 
pr	Tem cabelo encaracolado e bigode. 
ro	Are părul creț și mustață. 
sp-eu	Tiene el pelo rizado y bigote. 
sp	Tiene pelo rizado, tiene bigote. 
sv	Han har lockigt hår och mustasch. 
th	ผมเขาหยิก ไว้หนวด | 
tr	Kıvırcık saçlı ve bıyıklı. 
vi	Anh ta có mái tóc xoăn, và có ria mép. | 
zh-long	他有一頭捲髮，還有鬍子 
zh-short	他是卷发 还留着小胡子 
id	Rambutnya keriting dan dia berkumis. 
ko	곱슬머리에 콧수염도 있어요 | 
ru	У него кудрявые волосы и усы. 

