nl	Mag ik iets vragen? 
el	-Να σε ρωτήσω κάτι; -Φυσικά. 
id	- Boleh aku bertanya? - Silakan. 
ru	-Можно вас спросить? -Конечно. 
ar	&rlm;‏‏- أيمكنني أن أطلب منك أمراً؟ | &rlm;‏- رجاءً.‏ | 
da	-Må jeg spørge om noget? -Ja. 
en	-Can I ask you something? | -Please do. | 
fi	-Saanko kysyä jotain? -Ole hyvä. 
fr	- J'ai une question. - Je vous en prie. 
he	&rlm;‏‏אפשר לשאול אותך משהו? | &rlm;‏-בבקשה.‏ | 
it	- Posso chiederti una cosa? - Prego. 
ko	- 하나만 부탁해도 돼요? | - 물론이죠 | 
no	-Kan jeg spørre om noe? -Så klart. 
pl	- Ja też mam pytanie. - Słucham. 
pr-br	-Posso fazer uma pergunta? -Por favor. 
pr	- Posso fazer uma pergunta? - Por favor. 
ro	- Te pot întreba ceva? - Te rog. 
sp-eu	- ¿Puedo preguntarle algo? - Por favor. 
sp	- ¿Puedo preguntarte algo? - Adelante. 
sv	-Får jag fråga en sak? -Varsågod. 
th	- ขอถามอะไรหน่อยสิคะ | - เชิญเลย | 
tr	-Bir şey sorabilir miyim? -Lütfen. 
vi	- Tôi hỏi anh được chứ? | - Cứ tự nhiên. | 
zh-long	-可以問個問題嗎？ -請問 
zh-short	-我能求你点事吗？ -说吧 
ja	１つ いい？ | 

es	Quédate. Yo te llevo a casa. 
it	Resta, ti accompagno a casa. 
id	Tinggallah. Aku akan mengantarmu. 
fi	Jäisit vielä. Vien sinut kotiin. | -Olet pilvessä. Et vie minua mihinkään. | 
cs	Zůstaň. Pak tě hodím. 
da	Bliv. Jeg kører dig hjem. | 
el	Μείνε. Θα σε πάω σπίτι. 
en	Stay. I'll drive you home. 
es-eu	Quédate y te llevo a casa. 
fr	Reste. Je te ramènerai. 
he	‫תישארי. אסיע אותך הביתה.‬ | 
hr	Ostani. Odvest ću te kući. 
hu	Maradj! Hazaviszlek. 
ja	&lrm;待て　送ってやる | 
ko	&lrm;있어, 집에 데려다줄게 | 
no	Bli. Jeg kjører deg hjem. 
pt-br	Fica, eu te levo pra casa. 
pt	Fica. Eu levo-te a casa. 
ro	Mai stai! Te duc eu. 
ru	Останься. Я тебя подвезу. 
th	&lrm;อยู่ต่อเถอะ เดี๋ยวฉันไปส่งที่บ้านเอง | 
tr	Dur, ben seni bırakırım. 
vi	&lrm;Ở lại đi. Anh sẽ đưa em về. | 
zh-long	留下來，我會送妳回家 
zh-short	别走 一会儿我开车送你回家 
ms	Nantilah. Saya hantar balik. 

