ja	売れて有名になって | 僕を捨てた | 
ar	&rlm;‏غدا مشهوراً وتخلى عني.‏ | 
da	Han blev berømt og fyrede mig. 
el	Έγινε διάσημος και... με παράτησε. 
en	He got famous, and he, uh... | and he dumped me. | 
fi	Hänestä tuli kuuluisa, ja hän lemppasi minut. 
fr	Il est devenu célèbre et il m'a lâché. 
he	&rlm;‏הוא נהיה מפורסם... והוא זרק אותי.‏ | 
it	È diventato famoso. E mi ha scaricato. 
ko	유명해지더니 날 차버렸어 | 
nl	Hij werd beroemd en dumpte me. 
no	Han ble berømt, og han dumpet meg. 
pl	Został sławny i się mnie pozbył. 
pr-br	Ele ficou famoso e... E me deu um pé na bunda. 
pr	Tornou-se famoso e deixou-me. 
ro	A devenit celebru și m-a părăsit. 
sp-eu	Se hizo famoso. Y me dejó. 
sp	Se hizo famoso... Y me dejó. 
sv	Han blev berömd och dumpade mig. 
th	เขาดังแล้วเขาก็ทิ้งผมไป | 
tr	Ünlü oldu ve... Beni bıraktı. 
vi	Anh ta trở nên nổi tiếng và... | Anh ta bỏ tôi. | 
zh-long	他成名了，然後把我給甩了 
zh-short	他成名了 然后甩了我 
id	Dia menjadi terkenal lalu mencampakkanku. 
ru	Он прославился и... бросил меня. 

