ru	Эй, ты что делаешь? 
ar	&rlm;‏ما الذي تفعله؟ التزم بالنص.‏ | 
da	Hvad laver du? Hold dig til manuskriptet. 
el	Τι κάνεις; Μείνε στο σενάριο. 
en	Hey, what are you doing? | Stick to the script. | 
es-eu	¿Qué haces? Cíñete al guion. 
es	¿Qué estás haciendo? Respeta el guion. 
fi	Mitä nyt? Pysy käsiksessä. 
fr	Tu fous quoi ? Faut suivre le scénario. 
he	&rlm;‏היי, מה אתה עושה? תיצמד לתסריט.‏ | 
it	Che fai? Rispettiamo il copione. 
ko	뭐 하는 거예요? | 대본대로 해요 | 
nl	Wat doe je? Hou je aan het script. 
no	Hva gjør du? Følg manuset. 
pl	Co ty robisz? Trzymaj się scenariusza. 
pt-br	Ei, o que está fazendo? Siga o roteiro. 
pt	O que estás a fazer? Segue o plano do combate. 
ro	Ce faci? Respectă scenariul! 
sv	Vad gör du? Håll dig till manuset. 
th	เฮ่ เกิดอะไรขึ้น เล่นตามบทสิ | 
tr	Hey, ne yapıyorsun? Senaryoya bağlı kal. 
vi	Anh đang làm gì vậy? Theo kịch bản đi. | 
zh-long	你在幹嘛？照腳本演 
zh-short	嘿 你在干吗？照剧本来 
id	Apa yang kau lakukan? Ikuti naskahnya. 
ja	台本どおりだぞ | 

en	[both chattering] 

