ru	Думаю, он наступил. 
id	Kurasa ini cukup spesial. 
ar	&rlm;‏أظن أن هذه مناسبة خاصة كفاية.‏ | 
da	Mon den er speciel nok? 
el	Αυτή είναι αρκετά ξεχωριστή. 
en	I think this is special enough. | 
es	Creo que esta es especial. 
es-eu	Esta es bastante especial. 
fi	Tämä lienee sellainen. 
fr	On va dire que c'en est une. 
he	&rlm;‏אני חושב שזה מיוחד מספיק.‏ | 
it	Credo che questa lo sia. 
nl	Dit is vast speciaal genoeg. 
no	Denne er spesiell nok. 
pl	Ta taka jest. 
pt	Acho que esta é especial que chegue. 
pt-br	Acho que esta é bem especial. 
ro	E destul de specială ocazia asta. 
sv	Det här är speciellt nog. 
th	คิดว่านี่พิเศษพอ | 
tr	Sanırım bu yeterince özel. 
vi	Tôi nghĩ dịp này đủ đặc biệt rồi. | 
zh-long	今天夠特殊了 
zh-short	我觉得现在就是了 
ko	이 정도면 특별한 날이지 | 

en	[all screaming] 

