ru	А вот и проверка. 
id	Ini dia tesnya. 
ja	バレるかな？ | 
ko	자, 첫 관문이다 | 
ar	&rlm;‏ها هو الاختبار.‏ | 
da	Nu skal vi teste det. 
el	Για να δούμε. 
en	[Sandy] Well, here comes the test. | 
es	Aquí viene la prueba. 
es-eu	Aquí llega la prueba. 
fi	Tässä tulee testi. 
fr	Voilà un bon test. 
he	&rlm;‏הנה מגיע המבחן.‏ | 
it	Ecco un buon test. 
nl	Daar komt de test. 
no	Her kommer testen. 
pl	Uwaga. Test. 
pt	Aí vem o teste. 
pt-br	Eis o teste. 
ro	Ăsta e testul. 
sv	Nu testar vi. 
th	บททดสอบมาละ | 
tr	İşte şimdi test edeceğiz. 
vi	Thử xem nào. | 
zh-long	要見真章了 
zh-short	测试来了 

en	♪ To get a jolt From my electrodes… ♪ 

