ru	Продолжаем шоу! 
id	Mari lanjutkan acaranya 
sv	Vi fortsätter föreställningen 
ar	&rlm;‏لنتابع العرض‏ | 
da	Vi fortsætter resten af sæsonen 
el	Ας συνεχίσουμε την παράσταση Να συνεχίσουμε την παράσταση 
en	[all] ♪ Let's go on with the show ♪ | 
fi	Ja aina jatkuu show 
fr	Que le spectacle continue 
he	&rlm;‏‏הבה נמשיך עם המופע | &rlm;‏נמשיך עם המופע‏ | 
it	Andiamo avanti con lo show 
ko	계속해서 쇼를 하자 | 
pl	Niech przedstawienie dalej trwa 
pr-br	O show deve continuar 
pr	Vamos continuar com o espetáculo Prossiga o espetáculo 
ro	Să continuăm spectacolul Continuăm spectacolul 
sp	Continuemos con el show Sigamos con el show 
sp-eu	Sigamos con el espectáculo Que siga el espectáculo 
th	มาแสดงโชว์กันเถอะ | มาแสดงโชว์กัน | 
tr	Şova devam edelim Devam edelim 
vi	Hãy cùng tham gia ngành giải trí | Cùng nhau biểu diễn | 
zh-long	就讓表演繼續吧 
zh-short	让我们继续表演事业吧 继续表演下去 
ja	さあ ショーを続けよう | 

