ja	ダメだと言ったのに | 皆が勝手に入った | 
id	Aku sudah melarang mereka masuk ke kolam, tapi dilakukan. 
ru	Я их просил не лезть в бассейн, а они все равно полезли. 
ar	&rlm;‏‏طلبت منهم ألا يدخلوا إلى بركة السباحة، | &rlm;‏لكنهم فعلوا ذلك بكل الأحوال.‏ | 
da	Jeg sagde, de ikke skulle hoppe i, og de gjorde det alligevel. 
el	Εγώ τους είπα να μην πάνε στην πισίνα, αλλά δε με άκουσαν. 
en	You know, I did tell them not to go | in the pool, and they did it anyway. | 
fi	Käskin olla menemättä altaaseen, ja he menivät silti. 
fr	Je leur ai dit de pas y aller, mais ils n'ont pas écouté. 
he	&rlm;‏‏אתה יודע, אמרתי להם לא להיכנס לבריכה | &rlm;‏והם נכנסו בכל מקרה.‏ | 
it	Li avevo avvertiti, ma si sono tuffati comunque. 
nl	Ik zei dat ze het zwembad niet in mochten, maar ze deden het toch. 
no	Jeg ba dem ikke gå i bassenget, og de gjorde det likevel. 
pl	Mówiłem im, żeby nie wchodzili, ale mnie nie posłuchali. 
pr-br	Eu falei para não entrarem na piscina, mas eles entraram mesmo assim. 
pr	Eu disse-lhes para não irem para a piscina e eles foram à mesma. 
ro	Le-am zis să nu intre în piscină, iar ei tot au intrat. 
sp-eu	Les dije que no se metieran en la piscina, pero lo hicieron de todas formas. 
sp	Les dije que no se metieran en la piscina, y lo hicieron igual. 
sv	Jag sa att de inte fick hoppa i poolen, men de gjorde det ändå. 
th	รู้ไหม ผมห้ามไม่ให้พวกเขาลงสระ | แล้วพวกเขาก็ลงจนได้ | 
tr	Havuza girmemelerini söyledim, yine de girdiler. 
vi	Tôi đã bảo họ đừng xuống bể bơi, | và họ cứ nhảy xuống. | 
zh-long	我有跟他們說不要下去 是他們不聽 
zh-short	我叫他们别进泳池 可他们没听 
ko	내가 들여보낸 게 아니라 | 날 무시하고 들어간 건데... | 

