id	Itu dia. Potret itu. 
en	-[chuckles] | -And there it is. Shoot that. | 
ja	今だ　撮って | 
ru	Вот! Давай, снимай. 
ar	&rlm;‏وها هي الإثارة. صورها.‏ | 
da	Der har vi det. Skyd det. 
el	Ορίστε. Τράβηξε αυτό. 
es-eu	Ahí está. Saca eso. 
es	Y ahí está. Fotografía eso. 
fi	Ota äkkiä kuva. 
fr	Voilà. Ça, c'est bien. 
he	&rlm;‏והנה. שחקי אותה.‏ | 
it	Eccola lì. Scatta. 
nl	Alsjeblieft. Fotografeer dat. 
no	Der har vi det. Bruk det. 
pl	Teraz. Pstrykaj. 
pt	Aí está. Fotografa isso. 
pt-br	É isso aí. Tire a foto. 
ro	Uite! Pozează! 
sv	Där satt den. Fota det. 
th	นั่นเลย ถ่ายสิ | 
tr	İşte oldu. Çek. 
vi	Được rồi. Chụp đi. | 
zh-long	來了，快拍 
zh-short	很好 快拍下来 
ko	그거야, 찍어 | 

en	♪ Happy Halloween Happy Halloween… ♪ 

