ja	今日は君が主役なのに | 
pl	To twój dzień. Nie chcę... 
id	- Ini harimu. Aku tidak mau... - Benar. 
ru	Это твой день. Я не хочу... 
ar	&rlm;‏هذا يومك. لا أريد أن...‏ | 
da	Det er din dag. Jeg vil ikke... 
el	Αυτή είναι η δική σου μέρα. Δεν θέλω να... 
en	-This is your day. I don't want to... | -No. No, no, no. You got it? | 
es-eu	Este es tu día. No quiero... 
es	Hoy es tu día. No quiero... 
fi	Tämä on sinun päiväsi. En halua... 
fr	C'est ta journée. Je veux pas... 
he	&rlm;‏זה היום שלך. אני לא רוצה ל...‏ | 
it	È la tua giornata. Non voglio... 
ko	오늘은 네가 즐겨야지 | 날 이렇게... | 
nl	Het is jouw dag. Ik wil niet... 
no	Dette er din dag. Jeg vil ikke... 
pt-br	Hoje é o seu dia. Não quero... 
pt	Hoje é o teu dia. Eu não quero... 
ro	Asta e ziua ta. Nu vreau să... 
sv	Det här är din dag. Jag vill... 
th	วันนี้วันของคุณ ผมไม่ต้องการ... | 
tr	Bugün senin günün. Ben hiç... 
vi	Hôm nay là ngày của cô. Tôi không muốn... | 
zh-long	今天妳才是主角，我不想… 
zh-short	今天是要陪你的 我可不想… 

en	[all howling] 

