ar	&rlm;‏انتهى هذا الحديث.‏ | 
da	Den her samtale er slut. 
el	Η συζήτηση τελείωσε. 
en	This conversation is over. | 
es	Esta conversación se termina aquí. 
es-eu	Esta conversación se acabó. 
fi	Tämä keskustelu päättyy tähän. 
fr	Je ne veux pas savoir. 
he	&rlm;‏השיחה הזו הסתיימה.‏ | 
id	Hentikan pembicaraan ini. 
it	Fine della conversazione. 
ko	대화는 여기까지 하죠 | 
nl	Dit gesprek is afgelopen. 
no	Denne samtalen er over. 
pl	Koniec tej rozmowy. 
pt-br	Esta conversa acabou. 
pt	Esta conversa terminou. 
ro	Discuția asta s-a încheiat. 
ru	Так, хватит об этом. 
sv	Detta samtal är slut. 
th	ไม่ต้องพูดเรื่องนี้กันอีก | 
tr	Bu konuşma bitmiştir. 
vi	Không nói chuyện nữa. | 
zh-long	我們的對話到此為止 
zh-short	对话结束 
ja	もう言わないで | 

en	♪ He did the monster mash ♪ 

