id	Jadi, Sandy Wexler... 
ja	サンディ･ | ウェクスラーについて | 
ar	&rlm;‏إذاً، "ساندي ويكسلر"...‏ | 
da	Altså, Sandy Wexler... 
el	Λοιπόν, ο Σάντι Γουέξλερ... 
en	So, Sandy Wexler... | 
fi	Eli Sandy Wexler... 
fr	Alors, Sandy Wexler... 
he	&rlm;‏אז, סנדי וקסלר...‏ | 
it	Allora, Sandy Wexler... 
nl	Dus Sandy Wexler... 
no	Så Sandy Wexler... 
pl	A więc Sandy Wexler... 
pr-br	Então, Sandy Wexler... 
pr	Então, Sandy Wexler... 
ro	Deci, Sandy Wexler... 
sp	Bien... Sandy Wexler... 
sp-eu	Bueno, Sandy Wexler... 
sv	Jaha, Sandy Wexler... 
th	งั้นก็ แซนดี้ เวกซ์เลอร์... | 
tr	Evet, Sandy Wexler... 
vi	Được rồi, Sandy Wexler... | 
zh-long	好，山迪韋克斯勒… 
zh-short	所以 桑迪韦克斯勒… 
ru	Итак, Сэнди Уэкслер... 
ko	자, 샌디 웩슬러는... | 
de	&lrm;他不在溫茲諾夫斯基家 | 

