ar	&rlm;‏أين أبدأ؟‏ | 
da	Hvor skal jeg begynde? 
el	Από πού να αρχίσω; 
en	[smacks lips] Where do I begin? | 
it	Da dove posso iniziare? 
ko	어디서부터 시작할까요? | 
nl	Waar zal ik beginnen? 
pl	Od czego zacząć? 
pr-br	Por onde começo? 
pr	Por onde começo? 
sp-eu	¿Por dónde empiezo? 
sp	¿Por dónde comenzar? 
sv	Var ska jag börja? 
zh-long	該從何說起呢？ 
zh-short	我从哪开始呢？ 
de	&lrm;-妳有打給他的乾媽嗎？ | &lrm;-有 | 
he	&rlm;‏איפה להתחיל?‏ | 
fr	Par où commencer ? 
id	Dari mana aku mulai? 
no	Hvor starter jeg? 
vi	Tôi bắt đầu từ đâu nhỉ? | 
ja	何 話そう | 
fi	Mistä aloittaisin? 
ru	С чего начать? 
th	เริ่มตรงไหนดี | 
tr	Nereden başlasam? 
ro	Cu ce să încep? 

