id	Akan kucumbu lehermu, ya 
ja	首元にキスをすれば | 　　　　　もう俺に夢中 | 
ar	&rlm;‏سأقبل عنقك، أجل‏ | 
el	Θα σε φιλήσω στο λαιμό, ναι 
en	♪ I'll kiss you on your neck, yes ♪ | 
fi	Mä suutelen kaulaan 
fr	Je t'embrasserai dans le cou 
he	&rlm;‏אנשק אותך על צווארך, כן‏ | 
it	Fatti baciare sul collo, sì 
nl	ik kus je in je nek 
pl	Pocałuję cię w szyję 
pr	Beijo-te no pescoço, sim 
pr-br	Sim, vou beijar o seu pescoço 
ro	O să te sărut pe gât, da 
sp	El cuello te besaré, sí 
sp-eu	Te besaré en el cuello, sí 
sv	Jag kysste dig på halsen 
th	ผมจะจูบคุณที่ลำคอ ใช่เลย | 
tr	Boynunu öpeceğim, evet 
vi	Anh sẽ hôn lên cổ em, vâng | 
zh-long	我要親吻妳的頸 
zh-short	我要吻你的脖子 
da	Jeg kysser dig på halsen 
ru	Я поцелую тебя в шею 
ko	목에 키스해줄게, 그래 | 

