ru	Ты хочешь в туалет? 
en	You need to go to the bathroom? | 
id	- Kau mau ke toilet? - Tidak, aku meluruskannya. 
ar	&rlm;‏‏- أتحتاج إلى الذهاب إلى الحمام؟ | &rlm;‏- لا، أضبط مسار الكرة.‏ | 
da	-Skal du på toilettet? -Nej, jeg gør lige klar. 
el	-Θες να πας στην τουαλέτα; -Όχι, ετοιμάζομαι για το χτύπημα. 
es-eu	- ¿Tienes que ir al baño? - No, me estoy alineando. 
es	- ¿Tienes que ir al baño? - No, solo me estoy alineando. 
fi	-Pitääkö sinun päästä vessaan? -Etsin oikeaa linjaa. 
fr	- T'as une envie pressante ? - Non, je me positionne. 
he	&rlm;‏‏אתה צריך ללכת לשירותים? | &rlm;‏-לא, אני מכוון.‏ | 
it	- Devi andare in bagno? - No, devo allinearmi. 
ko	- 화장실 가셔야 해요? | - 아니, 줄 맞추는 중이야 | 
nl	Moet je naar de wc? -Nee, ik ga ervoor staan. 
no	-Må du på do? -Nei, jeg forbereder slaget. 
pl	- Musisz iść do toalety? - Nie. Ustawiam się. 
pr-br	-Precisa ir ao banheiro? -Não, estou alinhando aqui. 
pr	- Precisas de ir à casa de banho? - Não, estou a preparar-me. 
ro	- Îți vine să mergi la baie? - Nu. Mă poziționez. 
sv	-Måste du gå på toaletten? -Nej, jag förbereder mig. 
th	- คุณต้องไปห้องน้ำใช่ไหม | - เปล่า แค่ตั้งท่าให้ตรงลูก | 
tr	-Tuvalete mi gitmen gerekiyor? -Hayır, hizalıyorum. 
vi	- Anh cần vào nhà tắm không? | - Không, tôi đang ngắm bóng. | 
zh-long	-你要上廁所嗎？ -不用，我在瞄準 
zh-short	-你要去洗手间吗？ -不是 我在瞄准 
ja	漏れそう？ | 

en	[laughing] 

