ru	Сэр, мы пропустили поворот. 
id	Pak, kurasa kau salah belok. 
ar	&rlm;‏يا سيدي، أظنك فوت المنعطف.‏ | 
da	Jeg tror, du glemte at dreje. 
el	Νομίζω ότι ξεχάσατε να στρίψετε. 
en	Sir, I think you missed our turn. | 
fi	Taisitte ajaa risteyksen ohi. 
fr	Vous n'avez pas oublié de tourner ? 
he	&rlm;‏אדוני, אני חושבת שפספסת פנייה.‏ | 
it	Signore, mi sembra che abbia sbagliato strada. 
ko	직진이 아닌 것 같은데요 | 
nl	U hebt de afslag gemist. 
no	Sir, jeg tror du kjørte for langt. 
pl	Chyba źle pan skręcił. 
pr-br	Senhor, acho que tínhamos que virar ali. 
pr	Senhor, enganou-se no caminho. 
ro	Domnule, cred că ați ratat strada. 
sp-eu	Señor, creo que se ha equivocado de camino. 
sp	Señor, creo que debía doblar. 
sv	Du missade avfarten. 
th	คุณคะ คุณลืมเลี้ยวแล้วนะ | 
tr	Sapağı kaçırdınız bayım. 
vi	Anh ơi, tôi nghĩ anh quên rẽ. | 
zh-long	先生，你好像走錯路了 
zh-short	先生 你错过我们要走的路口了 
ja	ねえ　道を間違えてる | 

