id	Pasti akan sempurna. 
ru	И будет идеально. 
ja	これで完璧 | 
zh-short	这样就完美了 
th	แล้วมันจะสมบูรณ์แบบ | 
fi	Se olisi täydellinen. 
vi	Và nó thực sự hoàn hảo. | 
el	Μετά θα είναι τέλειο. 
pl	Tak będzie idealnie. 
ar	&rlm;‏ثم سيكون الأمر مثالياً.‏ | 
da	Så ville det være perfekt. 
en	And then it would be perfect. | 
fr	Et là, ce serait parfait. 
he	&rlm;‏ואז זה יהיה מושלם.‏ | 
it	Così sarebbe perfetta. 
ko	그러면 완벽할 거야 | 
nl	Dan is het perfect. 
no	Og så ville det bli perfekt. 
pr-br	Então ficaria perfeito. 
pr	E ficaria perfeito. 
ro	Iar apoi ar fi perfect. 
sp-eu	Y sería perfecto. 
sp	Y sería perfecto. 
sv	Då skulle det bli perfekt. 
tr	O zaman mükemmel olacak. 
zh-long	這樣就更完美了 

