id	Sesekali, kau bertemu seseorang 
ja	そう多くないけれど | 　　出会えることがある… | 
ru	Иногда вдруг находишь 
da	Af og til finder man en 
ar	&rlm;‏"أحياناً، يجد المرء شخصاً‏ | 
el	Μια φορά στο τόσο, βρίσκεις κάποιον 
en	♪ Once in a while | You find someone ♪ | 
fi	Joskus löytää ihmisen 
fr	Il arrive qu'on trouve quelqu'un 
he	&rlm;‏מדי פעם, את פוגשת מישהו‏ | 
it	Di tanto in tanto, trovi qualcuno 
nl	af en toe vind je iemand 
pl	Czasem znajdujesz kogoś 
pr-br	De vez em quando, você acha alguém 
pr	De vez em quando, encontramos alguém 
ro	Odată, găsești pe cineva 
sp	De vez en cuando, conoces a alguien 
sp-eu	De vez en cuando encuentras a alguien 
sv	Det händer att man hittar nån 
th	บางครั้งบางคราว เราได้พบใครสักคน | 
tr	Bazen bulursun birini 
vi	Một lúc nào đó, anh gặp một người | 
zh-long	突然有那麼一個人 
zh-short	偶尔 你会遇到某人 
ko	가끔은 누군가를 찾게 되지 | 

