ja	音楽のことだけに | 
ar	&rlm;‏للموسيقى الأولوية.‏ | 
da	Musikken kommer først. 
el	Προέχει η μουσική. 
en	Music comes first. | 
fi	Musiikki on etusijalla. 
fr	La musique avant tout. 
he	&rlm;‏מוזיקה לפני הכול.‏ | 
it	La musica prima di tutto. 
no	Musikken er viktigst. 
pl	Muzyka przede wszystkim. 
pr	A música está em primeiro lugar. 
pr-br	Música em primeiro lugar. 
ro	Muzica e pe primul loc. 
sp-eu	La música es lo primero. 
sp	La música está primero. 
sv	Musiken kommer först. 
th	ดนตรีมาก่อน | 
tr	Müzik önce gelir. 
vi	Âm nhạc là quan trọng nhất. | 
zh-long	音樂第一 
zh-short	把音乐事业摆在首位 
ko	음악이 우선이잖아 | 
id	Musik lebih penting. 
ru	Музыка - прежде всего. 

