ja	お母さんは元気？ | じゃなくて… | 
ru	Как... 
en	[stammering] | 

vi	Nhưng rồi tôi khóc nửa tiếng trong xe đi tuần. 
ar	‫لكن بعدها بكيت في سيارة الدورية لنصف ساعة.‬ | 
hr	Zatim sam pola sata plakao u patrolnom vozilu. 
pt	Mas depois chorei na minha viatura durante meia hora. 
pl	A potem pół godziny płakałem w radiowozie. 
cs	Ale pak jsem ve služebním autě asi půl hodiny brečel. 
en	But then I cried in my squad car for about half an hour. 
es-eu	Pero estuve llorando en el coche media hora. 
fr	Après, j'ai pleuré dans ma voiture pendant 30 minutes. 
he	‫אבל אז בכיתי בניידת שלי חצי שעה.‬ | 
th	แล้วผมก็ร้องไห้ อยู่ในรถสายตรวจสักครึ่งชั่วโมงได้ 
zh-short	然后我在我的巡逻车里 哭了大概半小时 
da	Men så tudede jeg i en halv time efter. 
zh-long	可是後來我在巡邏車上哭了半小時 
it	Ma poi ho pianto in macchina per circa mezz'ora. 
tr	Sonra ekip otosunda yarım saat ağladım. 
ko	순찰차에서 30분 동안 울었어요 
es	pero lloré en mi patrulla como media hora. 
de	Aber danach weinte ich im Streifenwagen. 
ru	Но потом я полчаса плакал в машине. 
id	Namun, aku menangis di mobil | selama setengah jam. | 
pt-br	Mas depois chorei na viatura por meia hora. 
hu	De aztán fél óráig sírtam a kocsimban. 
ms	Kemudian saya menangis di dalam kereta ronda. 
el	Αλλά μετά έκλαψα στο περιπολικό για μισή ώρα. 
ro	Dar apoi am plâns în mașină o jumătate de oră. 

