ar	&rlm;‏حمية "أتكينز".‏ | 
da	Atkins. 
el	Δίαιτα Άτκινς. 
en	Atkins. | 
fr	Atkins. 
he	&rlm;‏אטקינס.‏ | 
it	Atkins. 
ko	앳킨스 다이어트예요 | 
nl	Atkins. 
pl	Atkins. 
pr	Atkins. 
pr-br	Atkins. 
ro	Atkins. 
sp	Atkins. 
sp-eu	Atkins. 
sv	Atkins. 
th	สูตรแอตคินส์ | 
tr	Atkins. 
vi	Ăn kiêng kiểu Atkins. | 
zh-long	阿金減肥餐 
zh-short	阿特金斯饮食 
ja	肉だけ | 
fi	Atkins. 
id	Atkins. 
ru	Аткинс. 
no	Atkins. 

es	donde todo estaba de cabeza. 
pt-br	Lá, era tudo de cabeça pra baixo. 
uk	Там усе було навпаки. 
zh-short	所有东西都上下颠倒 
cs	kde bylo všechno vzhůru nohama. 
it	Là tutto era capovolto. 
el	Όλοι στέκονταν στο κεφάλι τους. 
ru	В лесу всё было шиворот-навыворот. 
da	Alt derinde vendte på hovedet. | 
en	The whole world seemed to stand on its head there. 
es-eu	Todo estaba del revés. 
fr	Tout était sens dessus dessous. 
he	‫שבו הכול עמד על ראשו.‬ | 
hr	Ondje je sve bilo naglavce. 
hu	Ahol minden a feje tetején állt. 
id	Semuanya berdiri terbalik di sana. 
ja	&lrm;“そこは全てが逆” | 
ko	&lrm;거기선 모든 게 물구나무 서 있어 | 
ms	Semua di situ berdiri tegak. 
nl	Alles stond daar op z'n kop. 
no	Alt sto på hodet der. 
pt	Estava tudo de pernas para o ar. 
ro	Toate erau cu susul în jos acolo. 
th	&lrm;ทุกอย่างในนั้นกลับตาลปัตรหมด | 
tr	Orada her şey ters duruyormuş. 
vi	&lrm;Mọi thứ ở đó đều đứng bằng đầu. | 
zh-long	在那裡一切都是上下顛倒 
sv	Där var allt omvänt. Ingenting var som det brukar. 
fi	Siellä kaikki seisoi päällään. | 

