ar	&rlm;‏إنهم يملكون المادة...‏ | 
da	De ejer materialet... 
el	Τους ανήκει το υλικό... 
en	It's... They own the material. | 
fi	He omistavat materiaalin. 
fr	Ils ont les droits... 
he	&rlm;‏החומרים שייכים להם...‏ | 
it	Il materiale è loro... 
nl	Het materiaal is van hen. 
no	De eier materialet... 
pl	Nagranie jest ich... 
pr-br	O material é de propriedade deles... 
pr	O material é propriedade deles... 
ro	Dețin drepturile materialului... 
sp	Ellos son dueños del material... 
sp-eu	El material es suyo. 
sv	De äger materialet. 
th	พวกเขาเป็นเจ้าของคลิป | 
tr	Malzeme onların... 
vi	Họ sở hữu dữ liệu... | 
zh-long	他們有版權… 
zh-short	版权归他们所有… 
ru	Им принадлежат права... 
ko	저작권은 저쪽에 있으니... | 
id	Mereka memiliki materinya... 
ja	映像の権利は… | 

