id	Baiklah. Kalau begitu... 
ja	そう言うなら… | 
ru	Ладно. В таком случае... 
ar	&rlm;‏حسناً. في تلك الحالة،‏ | 
da	Jamen, så... 
el	Αφού είναι έτσι... 
en	Well, okay. In that case... | 
fi	No, siinä tapauksessa. 
fr	Bon, dans ce cas... 
he	&rlm;‏טוב, בסדר. אם כך...‏ | 
it	Bene. In questo caso... 
ko	좋아요, 그렇다면... | 
nl	Goed, in dat geval... 
no	Greit. I så fall... 
pl	W takim razie... 
pr-br	Está bem. Nesse caso... 
pr	Está bem. Nesse caso... 
ro	Bine. În cazul ăsta... 
sp	De acuerdo. En ese caso... 
sp-eu	Bueno, vale. En ese caso... 
sv	I så fall... 
th	โอเค ถ้างั้นละก็ | 
tr	Pekâlâ. Bu durumda... 
vi	Thôi được. Nếu vậy thì... | 
zh-long	好，既然這樣… 
zh-short	好吧 这样的话 

