ja	契約交渉は強気でいくぞ | 
id	Inti pertemuan ini adalah adu urat saraf. 
ru	Главное - быть тверже. 
ar	&rlm;‏أهم ما في الاجتماع هو التفاوض الصعب.‏ | 
da	Til mødet er det vigtigt at være hård. 
en	The key to this meeting is tough talk. | 
es-eu	La clave aquí es hablar duro. 
es	La clave de esta reunión es ser duros. 
fi	Pitää olla kovana neuvotteluissa. 
fr	Il faudra se montrer ferme. 
he	&rlm;‏המפתח בפגישה הזו הוא לדבר בקשיחות.‏ | 
it	Alla riunione dovremo essere aggressivi. 
no	Hemmeligheten er å være tøff i kjeften. 
pl	Musisz być twardy. 
pr-br	O segredo desta reunião é ser duro. 
pr	Nesta reunião, é essencial falar grosso. 
ro	Cheia acestei întâlniri e să te impui. 
sv	Det viktiga är att vara stenhård. 
th	หัวใจในการประชุมนี้คือเจรจาสายแข็ง | 
tr	Bu toplantının anahtarı, sert konuşmak. 
vi	Mấu chốt khi họp là phải rắn. | 
zh-long	談判的關鍵就是要硬起來 
zh-short	这次见面的关键在于要强硬 
nl	Het belangrijkste in deze meeting is keihard zijn. 
el	Το κλειδί για τη συνάντηση είναι να διαπραγματευτούμε σκληρά. 
ko	이 미팅에서는 | 강하게 나가야 해 | 

