ja	でもテレビの出演経験がない | 
id	Tapi faktanya, dia belum pernah muncul di televisi. 
ru	Но он никогда не работал на телевидении. 
ar	&rlm;‏لكن الحقيقة أنه لم يظهر في التلفاز قط.‏ | 
da	Men faktum er, at han aldrig har været på TV. 
el	Δεν έχει, όμως, εμφανιστεί ποτέ στην τηλεόραση. 
en	But the fact is | he's never been on television. | 
es-eu	Pero el hecho es que nunca ha salido en la tele. 
es	Pero nunca ha estado en televisión. 
fi	Mutta hän ei ole ollut televisiossa. 
fr	Mais le fait est qu'il n'a jamais fait de télé. 
he	&rlm;‏‏אבל העובדה היא | &rlm;‏שהוא מעולם לא הופיע בטלוויזיה.‏ | 
it	Ma non è mai stato in televisione. 
nl	Maar hij is nooit op tv geweest. 
no	Men han har aldri vært på TV. 
pl	Ale nie ma doświadczenia w telewizji. 
pr-br	Mas a questão é que ele nunca apareceu na TV. 
pr	Mas a questão é que nunca foi à televisão. 
ro	Problema e că el n-a mai apărut la TV până acum. 
sv	Men faktum är att han aldrig var på TV. 
th	แต่ความจริงคือ เขาไม่เคยออกทีวี | 
tr	Ama mesele şu ki hiç televizyona çıkmamış. 
vi	Nhưng sự thật là | anh ấy chưa bao giờ lên truyền hình. | 
zh-long	但他沒上過電視 
zh-short	可他从来没上过电视 
ko	하지만 한 번도 | TV 출연을 안 해보셨죠 | 

