ja	行かなくていい？ | 
ar	&rlm;‏أخبرني أنه لا يتوجب علي الذهاب.‏ | 
en	Tell me I don't have to go, Sandy. | 
es	Dime que no tengo que ir. 
es-eu	Dime que no tengo que ir. 
fi	Sano, ettei minun ole pakko. 
fr	Dis-moi que je peux annuler. 
it	Dimmi che non ci devo andare. 
nl	Zeg dat ik moet gaan. 
no	Si at jeg ikke må dra. 
pr-br	Diga que não preciso ir. 
pr	Diz-me que não tenho de ir. 
ro	Spune-mi că nu trebuie să merg. 
sv	Säg att jag inte måste. 
th	บอกฉันสิว่าไม่ต้องไป | 
tr	Gitmem gerekmediğini söyle. 
vi	Hãy nói là tôi không phải đi. | 
zh-long	告訴我，我可以不用去 
zh-short	跟我说我不用去 
da	Sig, jeg ikke skal af sted. 
el	Πες μου ότι δε χρειάζεται να πάω. 
he	&rlm;‏תגיד לי שאני לא חייבת לנסוע, סנדי.‏ | 
ru	Скажи, что можно не ехать. 
id	Katakan aku tak perlu pergi, Sandy. 
ko	안 가도 된다고 말해 주세요 | 
pl	Powiedz mi, że nie muszę. 

en	♪ That's pretty freaky ♪ 

