id	Bukan, dialognya, Sandy. 
ru	Это реплика, Сэнди. 
ar	&rlm;‏لا، إنه الحوار يا "ساندي".‏ | 
da	Nej, replikkerne, Sandy. 
el	Το σενάριο, Σάντι. 
en	No, the line, Sandy. | 
fi	Ei, vaan lue replat. 
fr	Non, ta réplique, Sandy. 
he	&rlm;‏לא, הטקסט, סנדי.‏ | 
it	Era la mia battuta, Sandy. 
ko	아니, 이건 대사잖아요 | 
nl	Nee, de tekst, Sandy. 
no	Nei, replikkene, Sandy. 
pl	Ćwiczymy tekst. 
pr-br	Não, as falas, Sandy. 
pr	São as falas, Sandy. 
ro	Nu, replicile, Sandy. 
sp-eu	No, el diálogo, Sandy. 
sp	No, el diálogo, Sandy. 
sv	Nej, replikerna, Sandy. 
th	ไม่ใช่ ในบทน่ะ แซนดี้ | 
tr	Hayır, replikleri diyorum. 
vi	Không, lời thoại cơ, Sandy. | 
zh-long	我在練臺詞，山迪 
zh-short	不 是要说台词 桑迪 
ja	今のはセリフよ | 

