ar	&rlm;‏أين أبدأ؟‏ | 
da	Hvor skal jeg begynde? 
el	Από πού να αρχίσω; 
en	[smacks lips] Where do I begin? | 
it	Da dove posso iniziare? 
ko	어디서부터 시작할까요? | 
nl	Waar zal ik beginnen? 
pl	Od czego zacząć? 
pr-br	Por onde começo? 
pr	Por onde começo? 
sp-eu	¿Por dónde empiezo? 
sp	¿Por dónde comenzar? 
sv	Var ska jag börja? 
zh-long	該從何說起呢？ 
zh-short	我从哪开始呢？ 
he	&rlm;‏איפה להתחיל?‏ | 
fr	Par où commencer ? 
id	Dari mana aku mulai? 
no	Hvor starter jeg? 
vi	Tôi bắt đầu từ đâu nhỉ? | 
ja	何 話そう | 
fi	Mistä aloittaisin? 
ru	С чего начать? 
th	เริ่มตรงไหนดี | 
tr	Nereden başlasam? 
ro	Cu ce să încep? 

es	Está bien. Enseguida vamos. 
pt-br	Certo. Já estamos indo. 
uk	Гаразд. Ми негайно приїдемо. 
fi	Selvä. Tulemme heti. | 
cs	Dobře. Hned tam jedeme. 
da	Okay. Vi kommer med det samme. | 
el	Εντάξει. Ερχόμαστε αμέσως. 
en	All right. We'll come right away. 
es-eu	Vale, enseguida vamos. 
fr	D'accord. On arrive tout de suite. 
he	‫בסדר. אני כבר מגיע.‬ | 
hr	Dobro. Odmah ćemo doći. 
hu	Rendben. Máris megyünk. 
id	Baiklah. Kami akan segera datang. 
it	Va bene, veniamo subito. 
ko	&lrm;알겠습니다, 바로 갈게요 | 
ms	Baiklah. Kami datang sekarang. 
nl	Oké, we komen meteen. 
no	Greit. Vi kommer straks. 
pt	Muito bem. Vamos já. 
ro	Bine. Venim acum. 
ru	Хорошо. Мы сейчас приедем. 
sv	Okej, vi kommer på en gång. 
th	&lrm;ได้ เราจะไปเดี๋ยวนี้ | 
tr	Tamam, hemen geliyoruz. 
vi	&lrm;Được rồi. Chúng tôi sẽ đến ngay. | 
zh-long	好，我們馬上過去 
zh-short	好的 我们马上就来 
ja	&lrm;分かりました　すぐ行きます | 

