ar	&rlm;‏لقد أحبوك بالتأكيد.‏ | 
da	De var vilde med dig. 
el	Σε λάτρεψαν. 
en	-[Sandy] They absolutely loved you. | -[Ted laughing] | 
es-eu	Les has encantado. 
es	Les encantaste. 
fi	He olivat hulluna sinuun. 
fr	Ils t'ont adoré. 
he	&rlm;‏הם אהבו אותך מאוד.‏ | 
it	Li hai fatti impazzire. 
ko	다들 좋아 죽던걸 | 
no	De elsket deg. 
pr-br	Eles adoraram você. 
pr	Eles adoraram-te. 
ro	Te-au adorat. 
ru	Они от тебя в восторге. 
sv	De älskade dig. 
tr	Sana bayıldılar. 
vi	Chúng rất thích anh. | 
zh-long	他們超愛你的 
zh-short	他们真的很喜欢你 
id	Mereka sangat menyukaimu. 
nl	Ze vonden je geweldig. Je krijgt de klus. 
ja	大好評だった | ついにテレビに進出だ | 
pl	Pokochali cię. 
th	พวกเขารักนายสุดๆ | 

