ar	&rlm;‏أعلم. إنه هناك.‏ | 
da	Ja, det ved jeg. Han er lige dér. 
el	Το ξέρω. Είναι εκεί πίσω. 
en	Yeah, I know. He's right there. | 
fi	Tiedän. Hän on tuossa. 
fr	Je sais. Il est là. 
he	&rlm;‏כן, אני יודעת. הוא שם.‏ | 
it	Sì, lo so. È lì. 
ko	알아요, 저기 있잖아요 | 
nl	Weet ik. Hij zit daar. 
pl	Wiem, tam siedzi. 
pr-br	Sim, eu sei. Ele está ali. 
pr	Sim, eu sei. Ele está ali. 
ro	Da, știu. E chiar acolo. 
sp-eu	Sí, lo sé. Está ahí. 
sp	Sí, lo sé. Está ahí. 
sv	Jag vet. Han sitter där. 
th	ใช่ ฉันรู้ เขาอยู่ตรงนั้น | 
tr	Evet, biliyorum. Orada. 
vi	Vâng, tôi biết. Anh ta ở kia. | 
zh-long	我知道，他就在那裡 
zh-short	我知道 他就在那边 
ru	Знаю. 
id	Ya, aku tahu. Dia ada di sana. 
ja	知ってるわ　そこにいる | 
no	Ja, jeg vet det. Han sitter der. 
ru	Он там. 

