ar	&rlm;‏ماذا؟ ما هذا؟‏ | 
da	Hvad er det her? 
el	Τι; Τι είπες; 
en	What? What's this? | 
fi	Mitä tämä oikein on? 
fr	Quoi ? Comment ça ? 
he	&rlm;‏מה? מה זה?‏ | 
it	Cosa? Ma che vuol dire? 
no	Hva? Hva er dette? 
pl	Co takiego? 
pr-br	Quê? O que é isso? 
pr	O quê? O que vem a ser isto? 
ro	Poftim? Ce-ai zis? 
sp-eu	¿Qué? ¿Qué es esto? 
sp	¿Qué? ¿Qué dices? 
sv	Vad är det här? 
th	อะไรนะ นี่อะไร | 
tr	Ne? Ne bu ya? 
vi	Gì cơ? Gì thế? | 
zh-long	什麼？是怎樣？ 
zh-short	什么？胡说什么？ 
ru	Что? Что такое? 
ko	뭐? 그게 뭔데? | 
ja	はあ？ 何だって？ | 
id	Apa maksudmu? 

