ja	私を連れ去って | 　　　　ただ愛して | 
ar	&rlm;‏خذني بعيداً وامنحني الحب‏ | 
da	Bare tag mig med Giv mig kærlighed 
el	Πάρε με μακριά Δώσε μου αγάπη 
en	♪ Just take me away | Give me love ♪ | 
es-eu	Llévame lejos Dame amor 
es	Solo llévame Dame amor 
fi	Vie mut pois Rakkautta anna 
fr	Emmène-moi Donne-moi de l'amour 
he	&rlm;‏‏רק קח אותי מכאן | &rlm;‏תן לי אהבה‏ | 
it	Portami via Dammi il tuo amore 
ko	나를 데려가 줘, 사랑을 줘 | 
nl	neem me mee geef me liefde 
pl	Więc zabierz mnie I kochaj też 
pr-br	Me leve com você Me dê amor 
pr	Leva-me para longe Dá-me amor 
ro	Ia-mă Dă-mi iubire 
ru	Забери меня Подари мне любовь 
sv	Ta med mig Ge mig kärlek 
th	แค่พาฉันไป ให้ความรักกับฉัน | 
tr	Beni yanına al Bana sevgi ver 
vi	Hãy mang em đi xa | Cho em tình yêu | 
zh-long	帶我走 好好愛我 
zh-short	就带我走 爱我 
id	Bawa aku, cintai aku 

