id	Kenapa tidak? 
ja	どうして？ | 
ar	&rlm;‏لم لا تفعل؟‏ | 
da	Hvorfor ikke? 
el	Γιατί δεν το κάνεις; 
en	Why won't you? | 
es-eu	¿Por qué no? 
es	¿Por qué no? 
fi	Mikset? 
fr	Pourquoi ? 
he	&rlm;‏למה לא?‏ | 
it	Perché no? 
nl	Waarom niet? 
no	Hvorfor ikke? 
pl	Dlaczego nie? 
pr-br	Por que não diz? 
pr	Porquê? 
ro	De ce nu vrei? 
ru	Ну почему? 
sv	Varför inte då? 
th	ทำไมถึงไม่ล่ะ | 
tr	Neden söylemiyorsun? 
vi	Sao anh không nói? | 
zh-long	為什麼？ 
zh-short	为什么不行？ 
ko	어째서요? | 

en	♪ That's kinda freaky ♪ 

