id	Ramiro Alejandro. 
ja	ラミロ･アレハンドロ | 
ru	Рамиро Алехандро. 
ar	&rlm;‏"راميرو أليخاندرو".‏ | 
da	Ramiro Alejandro. 
el	Ραμίρο Αλεχάντρο. 
en	Ramiro Alejandro. | 
fi	Ramiro Alejandro. 
fr	Ramiro Alejandro. 
he	&rlm;‏רמירו אלחנדרו.‏ | 
it	Ramiro Alejandro. 
ko	라미로 알레한드로예요 | 
nl	Ramiro Alejandro. 
no	Ramiro Alejandro. 
pl	Ramiro Alejandro. 
pr-br	Ramiro Alejandro. 
pr	Ramiro Alejandro. 
ro	Ramiro Alejandro. 
sp-eu	Ramiro Alejandro. 
sp	Ramiro Alejandro. 
sv	Ramiro Alejandro. 
th	รามิโร อเลฮันโดร | 
tr	Ramiro Alejandro. 
vi	Ramiro Alejandro. | 
zh-long	拉米羅亞歷韓德羅 
zh-short	拉米罗亚历桑德罗 

