id	Astaga, bokongnya besar sekali! 
ar	&rlm;‏اللعنة، مؤخرته كبيرة!‏ | 
da	Det er en stor røv! 
el	Έχει τεράστιο πισινό! 
en	Damn, that's a big ass! | 
fi	Onpa iso perse! 
he	&rlm;‏לעזאזל, זה תחת גדול!‏ | 
it	Cavolo, che culone! 
nl	Dat is een grote kont. 
no	Det er en stor rumpe! 
pl	Ale ma wielką dupę! 
pr-br	Nossa, que bundão! 
pr	Caramba, que cu enorme! 
ro	Doamne, ce fund mare are! 
sp-eu	Joder, qué culo más grande. 
sp	Rayos, ¡qué culo grande! 
sv	Vilken stor bak! 
th	เวร นั่นก้นใหญ่ชะมัด | 
tr	Vay, kıçı da kocamanmış! 
vi	Anh kia to con quá! | 
zh-long	媽呀，無敵大屁屁 
zh-short	天啊 好大的屁股！ 
ko	엉덩이 진짜 크다! | 
fr	Il a un gros cul, la vache ! 
ru	Ну и задница! 
ja	あのお尻で？ | 

