id	Ya, aku tahu namaku. 
ru	Я знаю свое имя. 
ja	ああ そうだよ | 
fi	Tiedän oman nimeni. 
th	ใช่ ฉันรู้จักชื่อตัวเองนะ | 
ar	&rlm;‏أجل، أعرف اسمي.‏ | 
da	Ja, jeg kender mit navn. 
el	Ναι, ξέρω πώς με λένε. 
es-eu	Sí, sé cómo me llamo. 
es	Sí, sé cómo me llamo. 
fr	Je connais mon nom. 
he	&rlm;‏כן, אני יודע את השם שלי.‏ | 
it	Sì, so come mi chiamo. 
nl	Ja, ik weet mijn naam. 
no	Ja, jeg kan navnet mitt. 
pl	Wiem, jak się nazywam. 
pr-br	Sim, eu sei o meu nome. 
pr	Sim, eu sei o meu nome. 
ro	Da, știu cum mă cheamă. 
sv	Ja, jag vet vad jag heter. 
tr	Evet, adımı biliyorum. 
vi	Phải, tôi biết tên tôi. | 
zh-long	我知道我叫什麼名字 
zh-short	对 我知道自己的名字 
en	-[Sandy] Yeah, I know my name. | -[Beavis] Of Wexler Fartists? | 
ko	그래, 나도 내 이름 알아 | 

