el	Και απλά... Σκέφτεσαι. 
pl	I myślisz. 
sv	Du bara... Du tänker. 
ar	&rlm;‏أنت... فكري وحسب.‏ | 
da	Man tænker. 
en	You just... You think. | 
es-eu	Solo tienes que... Pensar. 
es	Solo... Piensas. 
fi	Ajatellaan. 
fr	Il faut... réfléchir. 
he	&rlm;‏אתה רק... חושב.‏ | 
it	E pensi. 
no	Bare... Tenk. 
pr-br	E... Pense. 
pr	E pensas. 
ro	Te gândești. 
tr	Sadece... Düşün. 
vi	Cô chỉ...cứ nghĩ thôi. | 
zh-long	就…思考 
zh-short	去想就是了 
id	Lakukan itu. Berpikir. 
ko	그냥... 생각하면 돼 | 
ru	Давай... Думай. 
th	ก็แค่... | แค่คิด | 

pt-br	Vou levar minhas irmãs para pedir doces. 
ar	‫سآخذ أختاي لجمع الحلوى.‬ | 
cs	No, vezmu sestry na koledu. 
da	Jeg går med mine søstre rundt. 
de	Wir gehen Süßkram sammeln. 
en	Well, I'm taking my sisters trick-or-treating. 
es-eu	Acompañaré a mis hermanas. 
fi	Vien siskoni keppostelemaan. 
fr	J'accompagne mes sœurs aux bonbons. 
he	‫אני לוקח את האחיות שלי‬ | ‫לסיבוב תעלול או ממתק.‬ | 
hr	Ja vodim sestre u maškare. 
hu	Elviszem a húgomat édességet gyűjteni. 
it	Porto le sorelle per le case. 
ko	동생들 데리고 사탕 얻으러 다닐 거야 
pt	Vou acompanhar as minhas irmãs. 
th	พาน้องสาวผมไปเล่นหลอกหรือเลี้ยง 
vi	Tôi đưa em gái đi cho kẹo hay bị ghẹo. 
zh-long	帶我妹妹去“不給糖就搗蛋” 
zh-short	要带妹妹们玩 “不给糖就捣蛋”游戏 
ms	Bawa adik saya rumah ke rumah. 
es	Llevaré a mis hermanas a pedir dulces. 
ro	Îmi duc surorile la colindat. 
tr	Kardeşlerimi şeker toplamaya götüreceğim. 
pl	Zabieram siostry na zbieranie słodyczy. 
ja	&lrm;妹たちと家を回るよ | &lrm;母親が仕事だから代わりにね | 
nl	Met mijn zusje langs de deuren. Mam moet werken, dus ik ben de man des huizes. 
sv	Jag ska gå på godisjakt med mina systrar. Min mamma jobbar, så jag sköter huset. 
no	Følge søstrene mine på knask eller knep. Mor må jobbe, så jeg har ansvaret hjemme. 
id	Aku mau ajak adikku trik atau traktir. | 

