ru	Подключаешь к телефонной линии 
ar	&rlm;‏تصله بخطك الهاتفي،‏ | 
da	Du sætter den i telefonstikket... 
el	Τον συνδέεις στην τηλεφωνική σου γραμμή 
fi	kytketään se puhelinlinjaan, 
fr	Branche-le à ta ligne téléphonique... 
he	&rlm;‏אתה מחבר אותו לקו הטלפון שלך...‏ | 
it	Lo colleghi alla linea telefonica... 
nl	Die verbind je met je telefoonlijn... 
no	Du kobler den til telefonlinjen... 
pl	Podłączasz go do telefonu. 
pr-br	Você o liga na sua linha telefônica... 
pr	Liga-lo à tua linha telefónica 
ro	Îl conectezi la linia telefonică 
sp-eu	Lo enchufas a la línea de teléfono... 
sp	La enchufas a tu línea telefónica 
sv	Du ansluter den till din telefonlinje, 
th	ต่อมันเข้ากับสายโทรศัพท์ | 
tr	Onu telefon hattına bağlıyorsun 
vi	Anh cắm vào dây điện thoại... | 
zh-long	插上電話線… 
zh-short	把电话线连上电脑 
id	- Sambungkan ke jaringan teleponmu. - Baiklah. 
ko	전화선이랑 연결해서 | 

