id	Ini ide buruk, Sandy! 
ja	最悪の案だ | 
ru	Это ужасная идея! 
ar	&rlm;‏إنها فكرة سيئة يا "ساندي"!‏ | 
da	Det er en frygtelig idé! 
el	Απαίσια ιδέα! 
en	This is an awful idea, Sandy! | 
es	¡Esta es una malísima idea! 
es-eu	Es una idea terrible. 
fi	Surkea idea! 
fr	Quelle idée pourrie ! 
he	&rlm;‏זה רעיון נורא!‏ | 
it	È stata un'idea terribile! 
no	Det var en elendig idé! 
pl	Fatalny pomysł! 
pr-br	Foi uma péssima ideia! 
pr	Que péssima ideia! 
ro	A fost o idee groaznică! 
sv	Det var en urusel idé. 
th	นี่เป็นความคิดไม่ดี | 
tr	Bu berbat bir fikir Sandy! 
vi	Đúng là một ý tưởng tồi tệ! | 
zh-long	這主意爛透了！ 
zh-short	这个主意太烂了！ 
nl	Dit is een heel slecht idee. -Nee, het ging beter dan je dacht. 
ko	정말 최악이에요! | 

