fi	Säästäkää se. Tulin häihin. 
zh-short	先别急着吻 我是来参加婚礼的 
ko	키스는 아껴둬요 | 결혼식 때문에 여기까지 왔잖아 | 
th	เก็บจูบนั้นไว้ก่อน | ที่มานี่ก็จะมางานแต่งงาน | 
ru	Потом поцелуетесь. Я пришел на свадьбу. 
pl	Z buziakiem poczekajcie. Przyjechałem tu na ślub. 
id	Tahan ciuman itu. Aku datang jauh hanya untuk menghadiri pernikahan. 
ar	&rlm;‏وفرا تلك القبلة. أتيت من أجل زفاف.‏ | 
da	Gem det kys. Jeg kom på grund af et bryllup. 
el	Αφήστε το φιλί. Εγώ ήρθα μέχρι εδώ για να δω γάμο. 
en	Save that kiss. I came | all the way down here for a wedding. | 
es	Esperen para el beso. Vine hasta aquí para una boda. 
es-eu	Guárdate ese beso. He venido a una boda. 
fr	Minute papillon. Je suis venu pour un mariage. 
he	&rlm;‏תשמור את הנשיקה. באתי הנה בשביל חתונה.‏ | 
it	Risparmiatevi il bacio. Sono venuto fin qui per un matrimonio. 
nl	Bewaar die kus voor straks. Ik kwam voor een bruiloft. 
no	Spar det kysset. Jeg kom hit for et bryllup. 
pr-br	Poupem o beijo. Vim aqui para um casamento. 
pr	Guardem o beijo. Eu vim cá para um casamento. 
ro	Mai târziu cu sărutul! Am venit tocmai până aici pentru o nuntă. 
sv	Spara kyssen. Jag är här för ett bröllop. 
tr	Öpücüğü sonraya saklayın. Buraya bir düğün için geldim. 
vi	Để dành nụ hôn đó đi. | Tôi đến tận đây để dự một lễ cưới. | 
zh-long	先別急著吻，我大老遠跑來 是要參加婚禮 
ja	後にしろ | 俺は結婚式に来たんだぞ | 

