ja	今の状況は | 君のためにもよくない | 
ar	&rlm;‏الوضع الحالي ليس عادلاً لك أيضاً.‏ | 
da	Den nuværende situation er heller ikke fair over for dig. 
el	Απλώς, η παρούσα κατάσταση είναι άδικη και για σένα. 
en	Well, it's just the current situation | isn't fair to you, either. | 
es-eu	Es que la situación actual tampoco es justa para ti. 
es	La situación actual no es justa para ti tampoco. 
fi	Nykytilanne ei ole reilu sinullekaan. 
fr	Et c'est pas réglo envers toi non plus. 
he	&rlm;‏‏זה רק כיוון שהמצב הנוכחי | &rlm;‏גם לא הוגן כלפייך.‏ | 
it	Con queste premesse, non sarebbe giusto neanche nei tuoi confronti. 
nl	Deze situatie is ook niet eerlijk tegenover jou. 
no	Dagens situasjon er urettferdig mot deg også. 
pl	To niesprawiedliwe również względem ciebie. 
pr	A situação atual também não é justa para ti. 
pr-br	É que essa situação atual também não é justa com você. 
ro	În contextul dat, nu e corect nici pentru tine. 
sv	Det här är inte rättvist mot dig heller. 
th	สถานการณ์ปัจจุบัน | ก็ไม่ยุติธรรมกับคุณอีกด้วย | 
tr	Mevcut durumda sana da haksızlık oluyor. 
vi	Chỉ là tình thế hiện tại | không công bằng cả với cô. | 
zh-long	目前這種情況對妳也不公平 
zh-short	只是目前的状况对你来说也不公平 
id	Hanya saja situasi terkini tidak adil bagimu juga. 
ko	지금 상황은 네게도 | 공평하지 않아 | 
ru	Просто сейчас я и тебе не могу отдать должное. 

en	[thunder rumbling] 

