ar	&rlm;‏ها هو الاتفاق.‏ | 
da	Nu skal I høre her. 
el	Αυτοί είναι οι όροι μας: 
en	So here's the deal. | 
es	Este es el trato. 
es-eu	Este es el trato. 
fr	Voilà notre offre. 
he	&rlm;‏הנה ההצעה.‏ | 
it	Ecco la proposta. 
nl	Dit is de deal. 
pr-br	O negócio é o seguinte. 
pr	Eis a nossa proposta. 
sv	Här är avtalet. 
vi	Thỏa thuận thế này. | 
zh-long	這樣吧 
ja	まずは― | 
zh-short	条款是这样的 
id	Jadi, ini tawaran kami. 
ro	Iată ce propun eu! 
ru	Вот наши условия. 
th	นี่คือข้อตกลง | 
fi	Tässä tarjouksemme. 
no	Her er avtalen. 
pl	Zrobimy tak. 
ko	이렇게 합시다 | 
tr	Teklifimiz şu. 

