id	Menurutku, kita melakukan kesalahan. 
el	Νομίζω ότι κάνουμε λάθος κίνηση. 
ar	&rlm;‏أظن أنها خطوة خاطئة.‏ | 
da	Jeg tror, vi gør det forkert. 
en	Now I think we're making | a wrong move here. | 
fi	Mielestäni se on huono siirto. 
fr	Je crois qu'on fait fausse route. 
he	&rlm;‏אני חושב שזה צעד לא נכון.‏ | 
it	Secondo me è una mossa sbagliata. 
ko	접근법이 잘못된 것 같아 | 
nl	Ik denk dat dit een verkeerde zet is. 
pl	Myślę, że to złe posunięcie. 
pr	Acho que estamos a agir mal. 
pr-br	Acho que estamos dando um passo errado aqui. 
ro	Cred că nu procedăm bine. 
sp	Creo que estamos cometiendo un error. 
sp-eu	Creo que nos estamos equivocando. 
sv	Jag tror att vi gör fel drag här. 
tr	Bence yanlış bir adım atıyoruz. 
vi	Tôi nghĩ rằng chúng ta đang sai lầm. | 
zh-long	我覺得這樣不好 
zh-short	我现在觉得我们走错了一步 
ja	とにかく必要ない | 
no	Jeg tror vi går feil frem. 
th	ผมคิดว่าเราจะทำพลาดตรงนี้ | 
ru	Думаю, мы делаем неправильный ход. 

