as	  pen	  Pen
I	  khaphachao	  chan
his	  lav	  khxng khea
that	  thi	  wa
he	  lav	  khea
was	  niaemn	  pen
for	  soalabkan	  sahrab
on	  sud	  bn
are	  aemn	  mi
with	  kab	  dwy
they	  phuakkhaochao	  phwk khea
be	  cha	  ca pen
at	  yu	  thi
one	  nung	  hnung
have	  mi	  mi
this	  ni	  ni
from	  chak	  cak
by	  odny	  doy
hot	  hon	  rxn
word	  khoa	  kha
but	  aetva	  tae
what	  singthi	  sing thi
some	  bang	  bang
is	  aemn	  pen
it	  man	  man
you	  than	  khun
or	  ru	  hrux
had	  dai	  mi
the	  dai	  di
of	  khong	  khxng
to	  kanthicha	  thi ca
and	  lae	  laea
a	  pen	  krxk
in	  nai	  ni
we	  phuakhao	  rea
can	  samadheddai	  samarth
out	  k	  xxk
other	  un	  xun <<
were	  dai	  pen
which	  thi	  sung
do	  hedaenuadai	  tha
their	  khongkhaochao	  khxng phwk khea
time	  thisaiuaela	  wela
if	  thahakva	  tha
will	  cha	  ca
how	  vithikan	  withi
said	  kauava	  klaw wa
an	  pen	  bin
each	  aetlakhon	  taela
tell	  bok	  bxk
does	  bo	  mi
set	  thikoanoduaai	  chud
three	  sam	  sam
want	  tongkan	  txngkar
air	  akad	  xakas
well	  di	  di
also	  nyang	  dwy
play	  rin	  len
small	  khanadnony	  khnad lek
end	  naitonthai	  play
put	  aochaisai	  si
home	  heuon	  ban
read	  an	  xan
hand	  mu	  mux
port	  thi	  phxrt
large	  khanadhainy	  thi mi khnad hiy
spell	  kansakodkhoa	  sakd
add	  phoem	  pheim
even	  thoengaemnva	  mae krathang
land	  thidin	  thidin
here	  thini	  thi ni
must	  tong	  txng
big	  hainy	  hiy
high	  sung	  sung
such	  sen	  chen
follow	  patibadtam	  tha tam
act	  kodmaivaduany	  kark ra tha
why	  penjang	  hetuphl thi
ask	  tham	  khx hi
men	  phusai	  phuchay
change	  kanpianaepng	  kar peliynpaelng
went	  dai	  pi
light	  aesngsavang	  saeng
kind	  paphed	  chnid
off	  pai	  xxk
need	  choapentongdai	  txng
house	  heuon	  ban
picture	  hub	  phaph
try	  phanyaiam	  phyayam
us	  phuakhao	  rea
again	  iktheuonung	  xik khrang
animal	  sad	  satw
point	  chud	  cud
mother	  aem	  mae
world	  olk	  lok
near	  yukai	  xyu kil
build	  kankosang	  srang
self	  tonoeng	  tnxeng
earth	  aephndinolk	  lok
father	  pho	  phx khxng
any	  dai	  di <<
new	  haim	  him
work	  kanheduaiak	  kar thangan
part	  suan	  swn hnung
take	  saiuaela	  chi wela
get	  daihab	  di rab
place	  sathanthi	  sthan thi thi
made	  dai	  tha
live	  doalongsivid	  mi chiwit
where	  bonthi	  thi
after	  rangchak	  hlangcak thi
back	  kabkhunpaibon	  klab
little	  phiangleknony	  lek <<nxy <<
only	  phiangaet	  theanan
round	  daitarod	  rxb
man	  phusai	  khn
year	  pi	  pi
came	  ma	  ma
show	  saaednghaihen	  saedng
every	  thuk	  thuk
good	  di	  di
me	  khaphachao	  chan
give	  hai	  hi
our	  khongphuakhao	  khxng rea
under	  phaitaikan	  phay ti
name	  su	  chux
very	  rai	  mak
through	  odnyphankan	  tlxd
just	  phiangaet	  pheiyng khae
form	  hubaebb	  rup baeb
sentence	  paojk	  prayokh
great	  thinyinghainy	  thi di
think	  khidva	  khid wa
say	  vao	  phud
help	  suanyheu	  chwy
low	  toa	  ta
line	  sen	  say
differ	  khuaamaetktangkan	  taek tang
turn	  laehedhaikan	  leiyw
cause	  sahed	  sahetu
much	  rai	  mak
mean	  maikhuaamva	  hmaykhwam
before	  konthicha	  kxn thi ca
move	  kankheuonhaiv	  yay
right	  sid	  khwa
boy	  dekphusai	  dekchay
old	  aiu	  kea
too	  koenpai	  keinpi
same	  diauakan	  deiywkan
she	  nang	  thex
all	  thangmod	  thanghmd
there	  mi	  mi
when	  naiuaelathi	  meux
up	  thoeng	  khun
use	  kannoasai	  kar chi ngan
your	  khongthan	  khxng khun
way	  vithikan	  thang
about	  kiauakab	  keiyw kab
many	  choanuanrai	  hlay
then	  rangchaknan	  laew k
them	  haikhaochao	  phwk khea
write	  khian	  kheiyn
would	  cha	  ca
like	  sen	  chen
so	  sanan	  dangnan
these	  heoani	  hela ni
her	  nang	  thex
long	  nyav	  yaw
make	  hedhai	  thahi
thing	  kanthodsob	  sing thi
see	  boeng	  hen
him	  phraong	  khea
two	  song	  sxng
has	  mi	  mi
look	  boeng	  du
more	  rai	  khun
day	  mu	  wan
could	  samadheddai	  samarth thadi
go	  pai	  pi
come	  ma	  ma
did	  dai	  di
number	  choanuan	  canwn
sound	  siang	  seiyng
no	  bomi	  mimi
most	  raithisud	  mak thisud
people	  pasason	  khn
my	  khongkhaphachao	  khxng chan
over	  nailainya	  kwa
know	  hu	  thrab
water	  noa	  na
than	  kuaa	  kwa
call	  oth	  thor
first	  khangthoaid	  pen khrang raek
who	  phuthi	  thi
may	  adcha	  xac
down	  long	  lng
side	  khang	  dan
been	  dai	  rab
now	  naipadchuban	  txn ni
find	  sokha	  ha
head	  hua	  haw
stand	  yun	  yun
own	  khongtonoeng	  khxng taw xeng
page	  na	  hna
should	  khuan	  khwr
country	  pathed	  prathes
found	  phob	  phb
answer	  khoatob	  kha txb
school	  ohnghian	  rongreiyn
grow	  kankhajaitua	  teibto
study	  kansuksa	  kar suks?a
still	  nyang	  yang khng
learn	  hianhu	  reiyn
plant	  phud	  phuch
cover	  kan pokhumkhong	  pk
food	  ahan	  xahar
sun	  aesngtauaen	  dwng xathity
four	  si	  si
between	  lavang	  rahwang
state	  lad	  rath
keep	  haksa	  keb
eye	  ta	  ta
never	  bokhoeny	  mi khey
last	  sudthai	  sudthay
let	  hai	  hi
thought	  khidva	  khid wa
city	  nakhon	  meuxng
tree	  penmai yunton	  tnmi
cross	  ka	  kham
farm	  kankasikoa	  farm
hard	  nyak	  xyang hnak
start	  kanloemton	  reim tn thi
might	  adcha	  xac
story	  leuong	  reuxngraw
saw	  hen	  leuxy
far	  kai	  hang kil
sea	  thale	  thale
draw	  aetm	  wad
left	  vai	  dan say
late	  thai	  chwng play deuxn
run	  kandoanoenngan	  kar thangan
dont	  hedbodai	  tha mi di
while	  naikhanathi	  ni khna thi
press	  nangsuphim	  kd
close	  kaisid	  kil
night	  naitonkangkhun	  khun
real	  aethching	  cring
life	  sivid	  chiwit
few	  bo raipandai	  nxy
north	  phakhenu	  henux
book	  pumban	  hnangsux
carry	  patibadkan	  phkpha
took	  dai	  xea
science	  vithanyasad	  withyasastr
eat	  kinoahan	  kin
room	  hongkan	  hxng
friend	  mupheuon	  pheuxn
began	  loemton	  reim
idea	  aenuakhuaamkhid	  khwam khid thi
fish	  pa	  pla
mountain	  phu	  phukhea
stop	  yudsaokan	  hyud
once	  khang	  khrang deiyw
base	  than	  than
hear	  nyin	  diyin
horse	  ma	  ma
cut	  kantad	  tad
